ActionType,AddressLine1,AddressLine2,City,Country,CustomerID,DOB,EffectiveDate,Email1,Email2,EndDate,FirstName,Gender,LastName,LocalTaxID,MiddleInitial,NationalTaxID,Phone1,Phone2,Phone3,PostalCode,StateProv,Status,TaxId,Tier,isCurrent
NEW,14553 Round Lake Boulevard,,Jersey City,United States of America,38,2009-06-18,2007-07-27,Beth.Campeau@shtrudel.com,,2007-10-05,Beth,U,Campeau,NJ6,,US4,,,,H2B 1X7,FL,ACTIVE,594-93-9012,3,false
UPDCUST,14553 Round Lake Boulevard,,North Las Vegas,United States of America,38,2009-06-18,2007-10-05,Beth.Campeau@deadaddress.com,,2008-11-19,Beth,U,Campeau,NJ6,,US4,,,,V6L 1Q9,DE,ACTIVE,594-93-9012,3,false
UPDCUST,16604 Calhoun West,,Santa Ana,United States of America,38,2009-06-18,2008-11-19,Beth.Campeau@gmx.co.uk,,2011-01-16,Beth,U,Campeau,NJ6,,US4,,,,E7O 1J8,PA,ACTIVE,594-93-9012,2,false
INACT,16604 Calhoun West,,Santa Ana,United States of America,38,2009-06-18,2011-01-16,Beth.Campeau@gmx.co.uk,,9999-12-31,Beth,U,Campeau,NJ6,,US4,,,,E7O 1J8,PA,INACTIVE,594-93-9012,2,true
NEW,2055 Evans East,,Bellevue,United States of America,39,1943-08-23,2007-07-27,Enzo.J.Wolter@wildmail.com,,9999-12-31,Enzo,U,Wolter,CN1,J,AZ1,,,,81003,IN,ACTIVE,852-68-0058,3,true
NEW,19730 Burgoyne Lane,,Livonia,Canada,40,1942-05-17,2007-07-27,Evy.Naismith@RespectAnimals.com,Evy.Naismith@bulldogs.com,2007-08-15,Evy,F,Naismith,HI2,,YT5,,,,96803,DE,ACTIVE,907-99-3329,3,false
INACT,19730 Burgoyne Lane,,Livonia,Canada,40,1942-05-17,2007-08-15,Evy.Naismith@RespectAnimals.com,Evy.Naismith@bulldogs.com,9999-12-31,Evy,F,Naismith,HI2,,YT5,,,,96803,DE,INACTIVE,907-99-3329,3,true
NEW,4032 Erie Court,,Baton Rouge,United States of America,41,1950-01-10,2007-07-28,Jania.Milburn@gmx.sg,Jania.Milburn@myway.com,2007-08-10,Jania,U,Milburn,NJ5,,MI1,800-069333747,,,35211,Saskatchewan,ACTIVE,619-45-3730,,false
UPDCUST,14362 Reilly Boulevard,,Lubbock,United States of America,41,1950-01-10,2007-08-10,Jania.Milburn@hush.com,Jania.Milburn@myway.com,2008-12-22,Jania,U,Milburn,NJ5,,MI1,800-069333747,,,70113,AZ,ACTIVE,619-45-3730,2,false
UPDCUST,14362 Reilly Boulevard,,Durham,Canada,41,1950-01-10,2008-12-22,Jania.Milburn@hush.com,Jania.Milburn@myway.com,9999-12-31,Jania,U,Milburn,NJ5,,MI1,800-069333747,,,95218,IL,ACTIVE,619-45-3730,2,true
