SK_CustomerID,CustomerID,TaxID,Status,LastName,FirstName,MiddleInitial,Gender,Tier,DOB,AddressLine1,AddressLine2,PostalCode,City,StateProv,Country,Phone1,Phone2,Phone3,Email1,Email2,NationalTaxRateDesc,NationalTaxRate,LocalTaxRateDesc,LocalTaxRate,AgencyID,CreditRating,NetWorth,MarketingNameplate,IsCurrent,BatchID,EffectiveDate,EndDate
1,1025,"522-03-8914         ","ACTIVE    ","Szuminski                     ","Amabelle                      ",NULL,M,2,1981-05-29,17997 McShann Street,NULL,"32827       ","Whitehorse               ","NC                  ","Canada                  ",NULL,NULL,NULL,"Amabelle.Szuminski@mac.hush.com                   ","Amabelle.Szuminski@fastemailer.com                ","Delaware Income Tax for everyone else             ",0.04730,"Wisconsin Income Tax for blue collar workers      ",0.04730,NULL,NULL,NULL,NULL,0,1,2009-08-30,2009-12-10
2,1209,"878-50-4307         ","ACTIVE    ","Rosewell                      ","Babb                          ",S,U,2,2004-04-01,10716 Lavender East,NULL,"94277       ","Long Beach               ","ND                  ",United States of America,"664-986613544                 ",NULL,NULL,"Babb.S.Rosewell@mail.com                          ","Babb.S.Rosewell@netdove.net                       ","Newfoundland Income Tax for everyone else         ",0.45540,"Yukon Income Tax for doctors and lawyers          ",0.38550,NULL,NULL,NULL,NULL,0,1,2010-01-22,2011-06-13
3,2849,"317-37-1286         ","ACTIVE    ","Stokes                        ","Berthe                        ",NULL,M,2,1930-07-10,5895 Strand Upper,NULL,"90007       ","Boise                    ","DE                  ",United States of America,NULL,NULL,NULL,"Berthe.Stokes@farce.de                            ",NULL,"Maine Income Tax for inherited wealth             ",0.08500,"Manitoba Income Tax for children                  ",0.00000,NULL,NULL,NULL,NULL,1,1,2013-07-13,9999-12-31
4,2019,"858-45-9144         ","ACTIVE    ","O'Donnell                     ","Carina                        ",NULL,M,2,1961-04-22,17521 Reilly Street,NULL,"48223       ","New York                 ",Prince Edward Island,United States of America,NULL,NULL,NULL,"Carina.O'Donnell@mail.be                          ",NULL,"Louisana Income Tax for the elderly               ",0.02000,"Delaware Income Tax for everyone else             ",0.04730,NULL,NULL,NULL,NULL,1,1,2012-04-06,9999-12-31
5,2847,"392-95-8384         ","ACTIVE    ","Koohgoli                      ","Casey                         ",NULL,U,1,1934-03-15,19214 Yaupon Boulevard,NULL,"95108       ","Sudbury                  ","AR                  ",United States of America,NULL,NULL,NULL,"Casey.Koohgoli@snail-mail.net                     ",NULL,"Georgia Income Tax for school teachers            ",0.02000,"Idaho Income Tax for the unemployed               ",0.06430,NULL,NULL,NULL,NULL,1,1,2013-07-13,9999-12-31
6,3121,"068-79-6333         ","ACTIVE    ","Wilkie                        ","Christal                      ",NULL,U,3,1931-03-24,16878 Plumb Park,NULL,"95258       ","Cheyenne                 ","WA                  ",United States of America,NULL,NULL,NULL,"Christal.Wilkie@eml.cc                            ",NULL,"North Dakota Income Tax for blue collar workers   ",0.04000,"Ontario Income Tax for the masses                 ",0.22160,NULL,NULL,NULL,NULL,1,1,2014-02-05,9999-12-31
7,37,"639-29-5926         ","ACTIVE    ","Riddall                       ","Clarke                        ",NULL,U,3,1931-03-12,9210 Curtis North,Apt. 476,"35231       ","Jacksonville             ","AL                  ","Canada                  ",NULL,"(520)595-213725623            ",NULL,"Clarke.Riddall@fastemailer.com                    ","Clarke.Riddall@mail2world.com                     ","New Jersey Income Tax for blue collar workers     ",0.02390,"Iowa Income Tax for inherited wealth              ",0.08980,NULL,NULL,NULL,NULL,1,1,2007-10-23,9999-12-31
8,1171,"961-93-9138         ","ACTIVE    ","Sieling                       ","Dana                          ",NULL,M,3,2002-03-24,6420 Crestmere East,NULL,"37403       ","Santa Rosa               ","UT                  ",United States of America,NULL,"892-296026491                 ",NULL,"Dana.Sieling@webmail.co.za                        ","Dana.Sieling@ip6.li                               ","Alberta Income Tax for doctors and lawyers        ",0.36000,"Mississippi Income Tax for school teachers        ",0.04000,NULL,NULL,NULL,NULL,1,1,2009-12-21,9999-12-31
9,1596,"333-45-0071         ","ACTIVE    ","Di Millo                      ","Delores                       ",NULL,F,2,2004-10-22,2546 Ashley Way,NULL,"47701       ","Bakersfield              ","VA                  ","Canada                  ",NULL,"+1(727)730-771000570          ",NULL,"Delores.Di Millo@gmail.com                        ","Delores.Di Millo@mailvault.com                    ","Mississippi Income Tax for school teachers        ",0.04000,"Utah Income Tax for the elderly                   ",0.04180,NULL,NULL,NULL,NULL,1,1,2014-10-28,9999-12-31
10,2183,"374-76-6193         ","ACTIVE    ","Tyrrell                       ","Dorie                         ",NULL,F,2,1946-03-13,7527 Whale Drive,NULL,"98121       ","Austin                   ","DE                  ","Canada                  ",NULL,NULL,NULL,"Dorie.Tyrrell@gmx.us                              ",NULL,"Canadian Income Tax for the huddled masses        ",0.22000,"Alberta Income Tax for children                   ",0.00000,NULL,NULL,NULL,NULL,1,1,2012-02-12,9999-12-31
11,1599,"515-92-4611         ","ACTIVE    ","Searl                         ","Elfie                         ",NULL,F,2,1958-10-20,19853 Overton Ridge Lower,NULL,"40513       ","Norfolk                  ","VA                  ","Canada                  ",NULL,"686-935848135                 ",NULL,"Elfie.Searl@hush.ai                               ","Elfie.Searl@12Freeukisp.co.uk                     ","Nunavut Income Tax for school teachers            ",0.21950,"Kansas Income Tax for doctors and lawyers         ",0.03500,NULL,NULL,NULL,NULL,0,1,2010-11-17,2017-03-23
12,3824,"829-44-5475         ","ACTIVE    ","Fricks                        ","Fey                           ",NULL,U,1,1996-07-02,15256 Neilson Avenue,NULL,"10099       ","Portland                 ","VA                  ","Canada                  ",NULL,NULL,NULL,"Fey.Fricks@mailmaniacs.com                        ",NULL,"Texas Income Tax for the masses                   ",0.00000,"Newfoundland Income Tax for the masses            ",0.38160,NULL,NULL,NULL,NULL,1,1,2015-08-04,9999-12-31
13,4625,"460-60-6875         ","ACTIVE    ","Corbett                       ","Gloriana                      ",NULL,U,3,1954-06-24,3760 Dearborn East,NULL,"T5B 1Q4     ","Anaheim                  ","DE                  ",United States of America,NULL,NULL,NULL,"Gloriana.Corbett@army.com                         ","Gloriana.Corbett@yahoo.com                        ","Yukon Income Tax for the masses                   ",0.00000,"Nova Scotia Income Tax for school teachers        ",0.30950,NULL,NULL,NULL,NULL,1,1,2017-04-16,9999-12-31
14,3971,"484-67-2203         ","ACTIVE    ","Cripps                        ","Hayden                        ",L,M,2,1997-07-10,8954 Bagby North,NULL,"V6U 1R8     ","Norfolk                  ","AZ                  ",United States of America,NULL,NULL,NULL,"Hayden.L.Cripps@deacons.com                       ","Hayden.L.Cripps@operamail.com                     ","Newfoundland Income Tax for children              ",0.00000,"New Jersey Income Tax for school teachers         ",0.03390,NULL,NULL,NULL,NULL,1,1,2015-11-29,9999-12-31
15,240,"170-54-6720         ","ACTIVE    ","Hafermalz                     ","Hedy                          ",NULL,F,3,1988-05-04,14281 Pico Lane,NULL,"79904       ","Burlington               ","WA                  ","Canada                  ",NULL,NULL,NULL,"Hedy.Hafermalz@mail.com                           ","Hedy.Hafermalz@london.com                         ","Mississippi Income Tax for inherited wealth       ",0.05000,"Iowa Income Tax for everyone else                 ",0.06830,NULL,NULL,NULL,NULL,0,1,2008-08-13,2008-11-02
